"ID_REF"	"GSM634846"	"GSM634847"	"GSM634848"	"GSM634849"	"GSM634850"	"GSM634851"	"GSM634852"	"GSM634853"	"GSM634854"	"GSM634855"	"GSM634856"	"GSM634857"
"ILMN_1343291"	5.966658705	5.963251825	5.746951926	7.089194162	7.728396476	7.072345969	6.512403951	7.292331603	5.814614817	6.914125698	7.04684029	6.710882512
"ILMN_1343295"	4.629205516	4.718442747	4.600085815	5.774567196	6.260167527	5.568348513	5.091310924	5.281835729	4.528811613	5.115106171	5.158305607	4.658633738
"ILMN_1651199"												
"ILMN_1651209"	-0.264951643	-0.346847268	-0.390777027	-0.251589369	-0.201071435	-0.038806775	-0.154388703	-0.356145759	-0.136288619	-0.230311862	-0.158685106	-0.176602965
"ILMN_1651210"												
"ILMN_1651221"												
"ILMN_1651228"	4.077679003	3.850158088	3.659855942	4.24148346	3.869917442	4.294293296	4.043174814	4.075650864	3.858145585	4.489431938	4.330026563	4.194728554
"ILMN_1651229"	1.79714363	1.582648562	1.485067687	1.701012246	1.6873539	1.68182725	1.662946042	1.362666729	1.524905535	2.163052441	1.662504551	1.707931359
"ILMN_1651230"												
"ILMN_1651232"	-0.318303343	-0.209501078	-0.24743455	-0.095469839	-0.050441266	-0.239662481	-0.295853708	-0.146458663	-0.263700095	-0.151573875	-0.206027076	-0.083209494
"ILMN_1651235"												
"ILMN_1651236"												
"ILMN_1651237"	2.364300236	2.152316327	2.225886595	3.279622848	2.863894439	3.461918591	2.210612193	1.947093152	2.114238294	3.12153617	2.956176931	2.632056756
"ILMN_1651238"												
"ILMN_1651249"												
"ILMN_1651253"												
"ILMN_1651254"	0.154595444	0.02811975	-0.053726436	-0.49511352	-0.357217561	-0.326544169	0.0610318	-0.03753995	0.094150469	-0.229138288	-0.339418883	-0.17824207
"ILMN_1651259"												
"ILMN_1651260"												
"ILMN_1651262"	3.642587288	3.860566853	3.967408671	3.428249784	3.70390916	3.298462278	4.287926416	4.427172486	4.069560766	3.820847354	3.929750662	4.116840894
"ILMN_1651268"	-0.177989789	-0.159593767	-0.263640794	-0.374415971	-0.419430635	-0.298371852	-0.317705085	-0.320068557	-0.140442447	-0.226626314	-0.197334385	-0.097603469
"ILMN_1651278"	0.764415298	1.160293247	0.925408746	0.375790659	0.138214471	0.161093327	0.797937219	0.752707681	0.752567306	0.259678222	0.335948948	0.636919058
"ILMN_1651279"												
"ILMN_1651281"												
"ILMN_1651282"												
"ILMN_1651285"												
"ILMN_1651286"												
"ILMN_1651288"												
"ILMN_1651292"												
"ILMN_1651296"	0.344894273	0.523966197	0.579998964	0.130059588	0.070704416	0.245903332	0.676103969	0.345665371	0.649749174	0.332082333	0.18826571	0.194897255
"ILMN_1651303"												
"ILMN_1651309"												
"ILMN_1651310"												
"ILMN_1651315"	2.556906103	2.369771744	2.291951168	3.606451185	3.313645158	3.827294464	2.883627641	2.975866775	2.598270695	3.746634855	3.38428095	3.342069182
"ILMN_1651316"	-0.195546542	-0.050289313	0.009669909	-0.48539994	-0.397197339	-0.472327935	-0.222648621	0.015907154	-0.063253613	-0.443438227	-0.270700291	-0.263815533
"ILMN_1651325"												
