ID_REF	DESCRIPTION	GSM1191286	GSM1191287	GSM1191288	GSM1191289	GSM1191290	GSM1191291	GSM1191292	GSM1191293
7896736		0.04069233	0.2804036	-0.14773655	-0.1903038	0.12587404	0.433918	-0.0598135	-0.040691853
7896738		-0.061389446	0.12136793	0.4032197	-0.01878643	-0.041543484	0.01878643	-0.039249897	0.39240503
7896740		0.20917845	-0.04175186	-0.005802631	0.45256376	0.034107685	-0.33359528	-0.24505758	0.005802631
7896742		-0.21845293	-0.015697002	-0.3022709	0.22389984	-0.071697235	0.01569748	0.10313225	0.030231476
7896744		-0.1717639	-0.06689119	0.702755	0.06689167	0.13814211	-0.08626461	0.6139488	-0.5765524
7896746		-1.1289964	-0.96806765	0.5494838	0.14458704	-0.4290533	0.004661083	0.07334185	-0.004661083
7896748		-1.0244617	-0.3659339	0.28403187	-0.112467766	0.112467766	0.65776443	0.23157501	-0.21290445
7896750		-1.7345963	-1.0338392	0.48092937	0.45876503	-0.47256422	-0.032539368	0.10357571	0.03254032
7896752		-1.2392397	-0.6956148	0.21965122	0.029787064	-0.39842892	0.036924362	-0.029787064	0.06625271
7896754		-0.60353994	-0.451746	0.33535433	0.061918736	-0.17635727	-0.061918736	0.29414177	0.08645582
7896756		0.07489061	-0.07489014	0.44723654	0.20089817	0.14901304	-0.42324162	-0.22723103	-0.57457685
7896759		0.012330055	-0.13253307	0.31520462	-0.19043207	-0.2987094	0.21358967	-0.012329578	0.23454666
7896761		0.9719224	0.62571335	-0.09037638	-0.10166979	0.601676	0.09037638	-0.09598255	-0.15778017
7896779		0.8516178	0.36647844	-0.80913115	-0.67990875	0.5052805	0.12434673	-0.12434721	-0.18440151
7896798		0.2370348	0.07948637	0.43050528	-0.21015692	-0.07948637	-0.91398	-0.50456333	0.1781168
7896817		2.661821	2.002318	-1.7353868	-1.2862182	2.4716945	0.47023153	-0.47023153	-0.68109465
7896822		0.38074493	0.21706676	-1.0803337	-0.7155304	0.97518444	0.12374306	-0.12374401	-0.5285516
7896859		0.5063734	0.13679218	-0.50914955	-0.21018934	0.28649712	-0.12183809	-0.16959286	0.12183809
7896861		0.03656912	-0.12040424	-0.19603395	-0.060201645	0.03042221	-0.03042221	0.34867716	0.52482843
7896863		-0.77117157	-0.063999176	0.4274106	0.011333942	0.11048508	-0.011333466	0.050125122	-0.16564035
7896865		0.53771734	0.104613304	-0.3837943	0.02874899	0.33685446	-0.02874899	-0.072966576	-0.44319534
7896878		-0.45563412	-0.17078447	0.5219736	0.48022413	-0.5086045	-0.35618734	0.170784	0.5254321
7896882		0.5225334	0.18087578	-0.09082413	0.43848467	-0.11763239	-0.02583599	-0.22319365	0.02583599
7896908		-0.23869324	-0.43854332	0.73399305	0.31367636	-0.38010597	-0.2914157	0.4978161	0.23869324
7896917		-0.6165457	-0.6355052	0.42013645	0.35198355	-0.21594524	-0.8201871	0.30310583	0.21594524
7896921		0.6143818	0.011944771	-0.011944294	-0.2531271	0.17163277	-0.29286337	0.047405243	-0.33279753
7896929		0.28177738	0.45354748	-0.6832018	-0.8880148	0.37838364	-0.008999825	0.008999825	-0.38104153
7896937		1.1786542	0.8450098	-0.28143072	0.010002136	0.570415	-0.87410164	-0.010002136	-0.20483351
7896952		0.5517998	0.5069809	-0.6558223	-0.3898487	0.27084637	-0.003510952	-0.12361622	0.003511429
7896961		1.5504618	0.6349201	-0.6310158	-0.36236572	0.61291885	0.26669407	-0.2892871	-0.26669407
7896983		0.5809088	-0.045714855	0.04526949	0.008312225	0.371984	-0.008311749	-0.53179646	-0.09005833
7896985		0.8960147	0.009039879	-0.16078854	-0.009039879	0.22318077	-0.5076308	0.18901443	-0.044347763
7897006		0.84848785	0.304883	-0.13251448	-0.022324562	0.34738064	-0.11881971	-0.17676067	0.022324085
7897026		0.038854122	-0.09454203	0.18280888	0.29803753	0.34199286	-0.40180063	-0.038854122	-0.095443726
7897034		0.1324029	0.5494027	-0.42070055	-0.12177372	0.28154802	-0.18396568	-0.07654619	0.07654667
7897044		0.002807617	0.33860445	-0.784904	-0.8673458	0.92106056	0.14176798	-0.002807617	-0.4521532
7897066		0.25574923	0.06688309	-0.06688261	-0.18167114	-0.06869984	0.20870876	-0.30475092	0.2775402
7897068		-0.008518696	0.28057098	-0.39355135	-0.111215115	0.84788847	0.25110483	-0.24326754	0.008518219
7897076		-0.0889163	0.066544056	0.44377708	-0.17029858	0.6980262	0.10187578	-0.06654453	-0.11784315
7897078		-0.25633192	-0.010576248	0.6082554	0.3576374	-0.42690325	-0.08443737	0.010576248	0.39293385
7897089		0.5172467	-0.002980709	0.072674274	0.002980709	0.04357481	-0.39535284	-0.22987127	-0.044615746
7897119		0.49299574	0.031672955	0.24505138	-0.13902664	0.5368099	-0.34300137	-0.031672955	-0.24037409
7897128		0.012610912	-0.012610912	-0.06350994	0.38914108	0.2934389	-0.8934026	-0.14433861	0.27263498
7897132		0.5627217	0.06015253	0.5806384	-0.060152054	0.27027607	-0.30582285	-0.06511927	-0.19415283
7897154		0.8623886	0.5656376	-0.6612935	-0.2723031	0.23732376	0.014453888	-0.014454365	-0.26260948
7897172		0.8948126	1.0223675	-0.8803344	-0.6919675	1.0116339	-0.13275623	0.07491207	-0.07491207
7897179		0.09113026	-0.020083904	0.5629382	0.21335793	-0.16577053	-0.83231544	0.011635304	-0.011635304
7897196		0.6375265	0.31110716	-0.32495546	-0.07536745	0.52955484	-0.31119537	-0.071480274	0.0714798
7897210		-0.12970161	-0.087026596	0.06642532	0.31267738	-0.06642532	0.6564255	-0.6962037	0.19827604
7897227		-0.005966187	-0.07055426	-0.5815749	-0.19706249	0.04049301	0.10769701	0.62215614	0.005966663
7897236		-0.11640787	-0.16226673	0.6245494	0.08440733	0.06118107	-0.11993408	-0.06118059	0.09711981
7897257		0.60194016	0.3044157	-0.5575762	-0.2546711	0.35072613	-0.05327034	0.05327034	-0.15718079
7897263		0.30793285	0.183671	-0.6014309	-0.53132534	0.37809277	0.6943793	-0.21536875	-0.18367052
7897277		0.2713666	0.10396004	-0.59753895	0.069835186	-0.069835186	-0.17983818	-0.6803293	0.4601636
7897280		0.68054867	0.27055407	-0.108469486	-0.34736204	0.10846901	0.35775614	-0.42599535	-0.18124294
7897286		0.37433147	-0.14877462	0.12966204	0.51268625	-0.12966204	-0.3962493	-0.6025028	0.45532608
7897288		0.31512737	0.49355412	-0.45323133	-0.47278452	0.36163998	0.056957245	-0.09505415	-0.056957245
7897293		0.0464406	0.10760784	0.6885004	0.21374941	-0.26848125	-0.5492816	-0.88424253	-0.04644108
7897295		0.309793	0.000328	0.04094124	-0.32139492	-0.053346634	-0.068306446	-0.000328	0.054254055
7897305		0.7787385	0.32187128	-0.043788433	-0.05811739	0.14917803	-0.029736042	-0.04035473	0.029736042
7897322		0.37204838	0.40481758	-0.7343683	-0.53408813	0.3538866	0.1858759	-0.26701546	-0.18587685
7897329		-0.027777672	-0.009430885	0.0649991	0.4285841	0.6218314	-0.47486782	-0.9031186	0.009430409
7897339		-0.3141322	-0.17160845	0.9410162	0.74769497	-0.043598652	0.043598652	-0.16776466	0.239007
7897368		0.15697289	-0.12193012	0.030970573	-0.030970573	-0.10398674	0.17340326	0.22327518	-0.21922684
7897370		-0.3093362	-0.2786088	0.1294012	-0.22888851	-0.12940168	0.19702911	0.41080666	0.3209591
7897378		0.026702404	0.25637007	0.6832595	0.4396205	-0.02670288	-0.4516425	-0.07591295	-0.14417553
7897404		0.18649197	0.06894398	-0.06116104	0.18767548	-0.18432808	-0.5330715	-0.20158768	0.061161995
7897416		0.2972932	0.34313297	-0.4220481	-0.04542446	0.5202522	-0.39288473	0.045423985	-0.45397282
7897422		-0.21623278	-0.15336084	0.82518435	0.3246503	-0.29168653	0.24067831	-0.13351727	0.13351727
7897424		0.28631687	0.18842697	-0.044693947	-0.41985703	0.2902422	-0.044911385	-0.000115	0.000115
7897426		0.08396292	-0.17731428	0.5734396	-0.029629707	-0.334404	0.3564477	0.02962923	-0.5533571
7897439		-0.002374172	0.14536333	0.58916855	-0.46815014	0.002374172	-0.30146646	0.050232887	-0.23523903
7897441		0.01910925	0.1754837	-0.43670607	0.07034731	0.43127155	-0.01910925	-0.33856773	-0.33122635
7897449		-0.43314648	-0.38051844	0.23844862	0.6599598	-0.2384491	-0.5541444	0.3948946	0.26293755
7897460		-0.44505215	-0.1613245	0.5578551	0.5748477	-0.4663887	-0.52969694	0.1613245	0.8619647
7897469		0.1917553	0.1406269	-0.001621723	0.45558357	-0.20484734	-0.16145849	-0.37624836	0.001621723
7897482		-0.81608295	-0.5697551	-0.1081295	0.108129025	-0.16281414	0.31980896	0.335279	0.3600378
7897509		-0.6290388	-0.12214947	-0.11289501	0.334373	0.17304564	-0.10061741	0.10565567	0.10061741
7897520		0.099151134	0.033396244	-0.19841433	-0.08863878	0.090530396	-0.033396244	0.4150157	-0.9164958
7897522		-1.9542246	-1.5619764	0.68571186	0.7270341	-1.8968391	-0.68571186	0.7363267	0.9660077
7897527		-0.72469425	-0.7955599	0.4962206	0.19985294	-0.9466772	-0.19985342	0.21788502	0.2869072
7897559		0.09825373	0.3820033	0.6486993	-0.13694906	0.10664511	-0.09825373	-0.16146088	-0.124625206
7897561		-0.8125005	-0.28006363	0.2740245	0.026878357	-0.03246641	0.49359798	-0.004072666	0.004072189
7897620		0.30193138	0.64468384	-0.72468233	-0.6013994	0.024989128	-0.024989128	0.03544712	-0.40275002
7897632		-0.7005768	-0.1758461	1.1236324	0.9634485	-0.661592	-0.07150984	0.07150984	0.5380049
7897648		0.5119028	0.32189655	-0.73577404	-0.35155344	0.38445807	0.16369104	-0.16369152	-0.40761805
7897661		0.5893054	0.37398195	-0.4075427	0.46027088	0.06657028	-0.2800579	-0.47265482	-0.06657028
7897663		-0.29916	0.13081646	0.008457184	0.056157112	0.21360779	-0.2280674	-0.1204319	-0.008457184
7897675		0.005024433	-0.00502491	0.11909771	0.2730298	-0.0496521	-0.418159	0.46848536	-0.027348518
